epoch,accuracy,loss,val_accuracy,val_loss
0,0.0601051039993763,4.926839828491211,0.22397813200950623,4.198718070983887
1,0.23298650979995728,3.965515375137329,0.4308856129646301,2.9495327472686768
2,0.3572503626346588,3.2320077419281006,0.5282398462295532,2.3641769886016846
3,0.43704280257225037,2.7976932525634766,0.5910171270370483,2.04571795463562
4,0.49566906690597534,2.5092012882232666,0.6263070106506348,1.8618606328964233
5,0.5338817238807678,2.3004257678985596,0.6581907272338867,1.7008998394012451
6,0.5663770437240601,2.1355504989624023,0.6774793863296509,1.600325584411621
7,0.5902369022369385,2.00510311126709,0.6943916082382202,1.507713794708252
8,0.6159321069717407,1.8819572925567627,0.7046498656272888,1.4448330402374268
9,0.6324900388717651,1.7829915285110474,0.713244616985321,1.3909118175506592
10,0.6492724418640137,1.7050282955169678,0.7213640809059143,1.3454564809799194
11,0.6632423996925354,1.6275471448898315,0.7312262654304504,1.2903163433074951
12,0.6748620271682739,1.5584192276000977,0.7333254218101501,1.2671607732772827
13,0.6858742237091064,1.4968417882919312,0.7337610721588135,1.2473195791244507
14,0.6998838186264038,1.4320111274719238,0.7376821637153625,1.2323052883148193
15,0.7084664702415466,1.3798527717590332,0.7530497312545776,1.1677051782608032
16,0.720020055770874,1.3260307312011719,0.7538815140724182,1.1484973430633545
17,0.7295270562171936,1.282737374305725,0.7528120875358582,1.1518810987472534
18,0.7394037246704102,1.2341399192810059,0.7598621845245361,1.1234118938446045
19,0.7497953176498413,1.1860905885696411,0.7604166865348816,1.1076292991638184
20,0.7559220194816589,1.1514289379119873,0.7627138495445251,1.1099566221237183
21,0.7626825571060181,1.116029977798462,0.7616444826126099,1.1049764156341553
22,0.7694166302680969,1.084214210510254,0.764931857585907,1.083146095275879
23,0.7790820598602295,1.0435117483139038,0.7697639465332031,1.064534306526184
24,0.7852483987808228,1.010107159614563,0.7667142152786255,1.0691211223602295
25,0.7939102649688721,0.9786399602890015,0.7642585635185242,1.085853934288025
26,0.7999049425125122,0.9468371868133545,0.7692094445228577,1.062933325767517
27,0.8065333962440491,0.9160622954368591,0.7721007466316223,1.0597246885299683
28,0.8132014870643616,0.8867677450180054,0.7699223756790161,1.0637348890304565
29,0.8187603950500488,0.8603400588035583,0.7608919739723206,1.0951259136199951
